N_s,V_dis_total,Sep. Eff.,status
50,0.004209694808787369,1.0,success
100,0.004224578274543485,1.0,success
150,0.004227745325299962,1.0,success
200,0.0042287668507601335,1.0,success
250,0.004253044725472555,1.0,success
300,0.004249764834149555,1.0,success
350,0.004247266816083921,1.0,success
400,0.004245285472145734,1.0,success
450,0.0042436580370864355,1.0,success
500,0.004254638369800316,1.0,success
550,0.004252564906163958,1.0,success
600,0.004250791679275778,1.0,success
650,0.004249251686516059,1.0,success
700,0.004247893296529697,1.0,success
1000,0.004255196644980358,1.0,success
