exp,phi_0,dV_ges,eps_0,V_dp,Sep. Eff.,status
ye,0.00026,160,0.2,0.006607195479263249,1.0,success
ye,0.000281,160,0.2,0.006607172806993072,1.0,success
ye,0.000307,160,0.2,0.006607773440917891,1.0,success
ye,0.00037,160,0.2,0.006607690412564474,1.0,success
ye,0.000431,160,0.2,0.006607872933770681,1.0,success
ye,0.000532,160,0.2,0.006606947413043248,1.0,success
ye,0.0006889999999999999,160,0.2,0.006607815296505537,1.0,success
ye,0.001281,160,0.2,0.006607533826418411,1.0,success
ye,0.00018,160,0.2,0.0066076672855613664,1.0,success
ye,0.0002,160,0.2,0.006607517634907226,1.0,success
ye,0.00025,160,0.2,0.00660772229396465,1.0,success
ye,0.0003,160,0.2,0.006607684218429151,1.0,success
ye,0.00035,160,0.2,0.006607775389394507,1.0,success
ye,0.000252,200,0.2,0.006607745834564251,1.0,success
ye,0.000283,200,0.2,0.006607103644153692,1.0,success
ye,0.000325,200,0.2,0.006607522133499411,1.0,success
ye,0.000383,200,0.2,0.0066077275517302785,1.0,success
ye,0.000464,200,0.2,0.006607761074547193,1.0,success
ye,0.000584,200,0.2,0.0066070061485672795,1.0,success
ye,0.000788,200,0.2,0.0066078482775562665,1.0,success
ye,0.001095,200,0.2,0.006607771610717629,1.0,success
ye,0.0015,200,0.2,0.0066055596670692015,1.0,success
ye,0.00018,200,0.2,0.006607349802327162,1.0,success
ye,0.0002,200,0.2,0.006608103127175647,1.0,success
ye,0.00025,200,0.2,0.0066071321049412275,1.0,success
ye,0.0003,200,0.2,0.006607337304433766,1.0,success
ye,0.00035,200,0.2,0.00660787676314015,1.0,success
ye,0.00018,200,0.1,0.006607693579374422,1.0,success
ye,0.000271,240,0.2,0.006607822136221751,1.0,success
ye,0.000298,240,0.2,0.006607393142268109,1.0,success
ye,0.000343,240,0.2,0.006607306392623819,1.0,success
ye,0.000404,240,0.2,0.0066068790278147995,1.0,success
ye,0.000503,240,0.2,0.006607829248470574,1.0,success
ye,0.00061,240,0.2,0.006607148219415388,1.0,success
ye,0.0008039999999999999,240,0.2,0.0066075466884801745,1.0,success
ye,0.001092,240,0.2,0.0066078694079184696,1.0,success
ye,0.001416,240,0.2,0.006606225224685931,1.0,success
ye,0.00018,240,0.2,0.006607836549502791,1.0,success
ye,0.0002,240,0.2,0.006607682423334457,1.0,success
ye,0.00025,240,0.2,0.006607587899009429,1.0,success
ye,0.0003,240,0.2,0.006607877218084326,1.0,success
ye,0.00035,240,0.2,0.006607100409658215,1.0,success
ye,0.00018,240,0.05,0.0066078735796597995,1.0,success
ye,0.0002,240,0.05,0.006607516641891891,1.0,success
ye,0.00025,240,0.05,0.006607175815383626,1.0,success
ye,0.0003,240,0.05,0.006607538211327215,1.0,success
ye,0.00035,240,0.05,0.00660726801011994,1.0,success
ye,0.00018,240,0.1,0.006607864018655136,1.0,success
ye,0.000254,280,0.2,0.006607984066562924,1.0,success
ye,0.000294,280,0.2,0.006609295486947726,1.0,success
ye,0.000337,280,0.2,0.006607838927322416,1.0,success
ye,0.000402,280,0.2,0.006607142915671055,1.0,success
ye,0.000497,280,0.2,0.006607391308531015,1.0,success
ye,0.000617,280,0.2,0.0066076430248085335,1.0,success
ye,0.0008,280,0.2,0.006607415878406745,1.0,success
ye,0.001099,280,0.2,0.006607336548172074,1.0,success
ye,0.001278,280,0.2,0.0066078070461135265,1.0,success
ye,0.00018,280,0.2,0.00660885052500674,1.0,success
ye,0.0002,280,0.2,0.006608540678069033,1.0,success
ye,0.00025,280,0.2,0.006608012004968926,1.0,success
ye,0.0003,280,0.2,0.006607673867629897,1.0,success
ye,0.00035,280,0.2,0.0066073594516595615,1.0,success
ye,0.00018,280,0.05,0.006607263139459506,1.0,success
ye,0.0002,280,0.05,0.006607420719696223,1.0,success
ye,0.00025,280,0.05,0.006607558300584483,1.0,success
ye,0.0003,280,0.05,0.0066074490801161755,1.0,success
ye,0.00035,280,0.05,0.006607815239581626,1.0,success
ye,0.00018,280,0.1,0.006607384764985831,1.0,success
niba1,0.0007,2050,0.3,0.015819441397601556,1.0,success
niba1,0.000905,2350,0.5,0.015714917740817444,1.0,success
niba2,0.0006325,1600,0.3,0.015794052987656827,1.0,success
niba2,0.0006075,1500,0.3,0.015734565590026298,1.0,success
niba2,0.000738,1450,0.5,0.015778599792928293,1.0,success
niba2,0.000865,1850,0.5,0.0157056114412573,1.0,success
niba3,0.0006275,1600,0.3,0.05005405945263641,1.0,success
niba3,0.000585,1450,0.3,0.05005868888298606,1.0,success
niba3,0.0007075,1400,0.5,0.050183957144647066,1.0,success
niba3,0.000635,1150,0.5,0.0500941135623019,1.0,success
niba4,0.0006675,1600,0.3,0.01582614783007146,1.0,success
niba4,0.0006303,1500,0.3,0.015811410956990065,1.0,success
niba4,0.0007225,1350,0.5,0.015748691098653303,1.0,success
niba4,0.0006725,1200,0.5,0.015768931378499478,1.0,success
