exp,phi_0,dV_ges,eps_0,V_dp,Sep. Eff.,status,error
ye,0.00026,160,0.2,0.0038321733779726843,1.0,success,
ye,0.000281,160,0.2,0.0037330526359510854,1.0,success,
ye,0.000307,160,0.2,0.00360123652530025,1.0,success,
ye,0.00037,160,0.2,0.003369922110407882,1.0,success,
ye,0.000431,160,0.2,0.003171779008209927,1.0,success,
ye,0.000532,160,0.2,0.002940091598804245,1.0,success,
ye,0.0006889999999999999,160,0.2,0.0026100870421196867,1.0,success,
ye,0.001281,160,0.2,0.0019161848096613393,1.0,success,
ye,0.00018,160,0.2,0.004294983735614889,1.0,success,
ye,0.0002,160,0.2,0.004162736109991552,1.0,success,
ye,0.00025,160,0.2,0.0038655175419693207,1.0,success,
ye,0.0003,160,0.2,0.003634226320136033,1.0,success,
ye,0.00035,160,0.2,0.0034360432024851443,1.0,success,
ye,0.000252,200,0.2,0.0048236544592319035,1.0,success,
ye,0.000283,200,0.2,0.004658008069128352,1.0,success,
ye,0.000325,200,0.2,0.004427039829444606,1.0,success,
ye,0.000383,200,0.2,0.004162868357590076,1.0,success,
ye,0.000464,200,0.2,0.003865540228610108,1.0,success,
ye,0.000584,200,0.2,0.003534748289483495,1.0,success,
ye,0.000788,200,0.2,0.0030726494490636636,1.0,success,
ye,0.001095,200,0.2,0.0026100697862334633,1.0,success,
ye,0.0015,200,0.2,0.0022128624884681825,1.0,success,
ye,0.00018,200,0.2,0.005384990088896638,1.0,success,
ye,0.0002,200,0.2,0.005187360954832882,1.0,success,
ye,0.00025,200,0.2,0.004856242097131802,1.0,success,
ye,0.0003,200,0.2,0.004559062740059298,1.0,success,
ye,0.00035,200,0.2,0.004295119896041097,1.0,success,
ye,0.00018,200,0.1,0.0026761158996466408,1.0,success,
ye,0.000271,240,0.2,0.005649687926469597,1.0,success,
ye,0.000298,240,0.2,0.0054841363080825305,1.0,success,
ye,0.000343,240,0.2,0.0052197720501728165,1.0,success,
ye,0.000404,240,0.2,0.004922124875722026,1.0,success,
ye,0.000503,240,0.2,0.00449332388895999,1.0,success,
ye,0.00061,240,0.2,0.004162503378231694,1.0,success,
ye,0.0008039999999999999,240,0.2,0.0036671884121064965,1.0,success,
ye,0.001092,240,0.2,0.0031387379687612725,1.0,success,
ye,0.001416,240,0.2,0.0027415834682446615,1.0,success,
ye,0.00018,240,0.2,0.006442640635765221,1.0,success,
ye,0.0002,240,0.2,0.006244259890051061,1.0,success,
ye,0.00025,240,0.2,0.005814677351128297,1.0,success,
ye,0.0003,240,0.2,0.005451498704919569,1.0,success,
ye,0.00035,240,0.2,0.0051865738215816975,1.0,success,
ye,0.00018,240,0.05,0.001585889659118352,1.0,success,
ye,0.0002,240,0.05,0.0015527664108445944,1.0,success,
ye,0.00025,240,0.05,0.0014535786793843976,1.0,success,
ye,0.0003,240,0.05,0.0013545453333220789,1.0,success,
ye,0.00035,240,0.05,0.0012884172619733883,1.0,success,
ye,0.00018,240,0.1,0.0032048140490477414,1.0,success,
ye,0.000254,280,0.2,0.006607984066562924,1.0,success,
ye,0.000294,280,0.2,0.006411016622339296,1.0,success,
ye,0.000337,280,0.2,0.006112251007773234,1.0,success,
ye,0.000402,280,0.2,0.005748214336633819,1.0,success,
ye,0.000497,280,0.2,0.005285913046824812,1.0,success,
ye,0.000617,280,0.2,0.00482357940811023,1.0,success,
ye,0.0008,280,0.2,0.004294820320964385,1.0,success,
ye,0.001099,280,0.2,0.003667071784235501,1.0,success,
ye,0.001278,280,0.2,0.0033699815935178986,1.0,success,
ye,0.00018,280,0.2,0.00660885052500674,1.0,success,
ye,0.0002,280,0.2,0.006608540678069033,1.0,success,
ye,0.00025,280,0.2,0.006608012004968926,1.0,success,
ye,0.0003,280,0.2,0.006376405282262852,1.0,success,
ye,0.00035,280,0.2,0.006045733898268497,1.0,success,
ye,0.00018,280,0.05,0.0018830699947459592,1.0,success,
ye,0.0002,280,0.05,0.0018170406979164614,1.0,success,
ye,0.00025,280,0.05,0.0016849273666490433,1.0,success,
ye,0.0003,280,0.05,0.001585787779227882,1.0,success,
ye,0.00035,280,0.05,0.0014867584289058656,1.0,success,
ye,0.00018,280,0.1,0.0037662093160419235,1.0,success,
niba1,0.0007,2050,0.3,0.015819441397601556,1.0,success,
niba1,0.000905,2350,0.5,0.015714917740817444,1.0,success,
niba2,0.0006325,1600,0.3,0.015794052987656827,1.0,success,
niba2,0.0006075,1500,0.3,0.015734565590026298,1.0,success,
niba2,0.000738,1450,0.5,0.015778599792928293,1.0,success,
niba2,0.000865,1850,0.5,0.0157056114412573,1.0,success,
niba3,0.0006275,1600,0.3,0.049553518858110046,1.0,success,
niba3,0.000585,1450,0.3,0.04680487410559197,1.0,success,
niba3,0.0007075,1400,0.5,0.050183957144647066,1.0,success,
niba3,0.000635,1150,0.5,0.0500941135623019,1.0,success,
niba4,0.0006675,1600,0.3,0.01582614783007146,1.0,success,
niba4,0.0006303,1500,0.3,,,failed,[Errno 22] Invalid argument
niba4,0.0007225,1350,0.5,0.015748691098653303,1.0,success,
niba4,0.0006725,1200,0.5,0.015768931378499478,1.0,success,
