exp,phi_0,dV_ges,eps_0,h_dp_max,h_w_0,V_dp,Sep. Eff.,L_dp,status,h_dpz_0,h_dpz_1,h_dpz_2
10mmol_21C,0.000204621,743.101701,0.297018934,0.036502928,0.096633422,0.015119848566938342,1.0,0.9229999999999999,success,0.036183687042487644,0.036183687042487644,0.0
10mmol_21C,0.000657257,748.3678846,0.503339395,0.028484735,0.092660582,0.015517931733476778,1.0,0.9035000000000001,success,0.028277765510531835,0.028277765510531835,0.0
10mmol_21C,0.00031128,749.9297278,0.49988101,0.038919571,0.107723963,0.018433740113923604,1.0,1.3,success,0.04633804486233348,0.04633804486233348,0.0
10mmol_21C,0.000449277,749.974026,0.399764919,0.038463404,0.095001254,0.014552155093285331,1.0,0.8710000000000001,success,0.03821939512163568,0.03821939512163568,0.0
10mmol_30C,0.000549679,750.0255688,0.50015755,0.040361707,0.101830843,0.015057644169597035,1.0,0.9815,success,0.03974094861792771,0.03974094861792771,0.0
10mmol_21C,0.000338769,750.0573319,0.499894576,0.03802335,0.108397884,0.018246474963529283,1.0,1.3,success,0.04126875737766157,0.04126875737766157,0.0
10mmol_21C,0.000241941,750.207822,0.400023387,0.066916982,0.106790285,0.018797307566148426,1.0,1.3,success,0.0927534558095274,0.0927534558095274,0.0
10mmol_21C,0.000492745,750.2517853,0.299888778,0.03644848,0.100196136,0.009981053220892634,1.0,0.637,success,0.03607699994489712,0.03607699994489712,0.0
15mmol_20C,0.000611831,750.71744,0.50033281,0.037521119,0.098495864,0.014463992874591542,1.0,0.9035000000000001,success,0.03741481914470619,0.03741481914470619,0.0
15mmol_30C,0.00039098,750.8672362,0.3009275,0.033229887,0.100884113,0.008984936187271097,1.0,0.5785,success,0.03275147884059969,0.03275147884059969,0.0
10mmol_30C,0.00022167,751.4893686,0.400032531,0.070955006,0.110415327,0.017769720704766342,1.0,1.3,success,0.08878748343236252,0.08878748343236252,0.0
10mmol_30C,0.000677966,752.8593337,0.499499435,0.042382798,0.097580385,0.013787252553917622,1.0,0.8515,success,0.04190975978028036,0.04190975978028036,0.0
15mmol_30C,0.000254348,908.3537413,0.277187067,0.036368708,0.103970942,0.011826708421396173,1.0,0.7929999999999999,success,0.03609138229614056,0.03609138229614056,0.0
2mmol_21C,0.000802395,998.4437317,0.499859416,0.018851822,0.102801178,0.01792472943017694,1.0,1.183,success,0.018460664055878817,0.018460664055878817,0.0
15mmol_20C,0.00050276,999.4082097,0.299204276,0.041816536,0.101860464,0.012559797741986884,1.0,0.8190000000000001,success,0.041374548585036794,0.041374548585036794,0.0
2mmol_21C,0.00059944,999.5966291,0.400065471,0.024784076,0.097689174,0.017238257975994997,1.0,1.066,success,0.024602945387689937,0.024602945387689937,0.0
5mmol_30C,0.000712445,999.6446793,0.499913583,0.01855081,0.09488439,0.005329615174498779,1.0,0.3185,success,0.018309394442397556,0.018309394442397556,0.0
10mmol_21C,0.000377858,999.6735997,0.30006925,0.036809691,0.108183192,0.014178698904588522,1.0,1.0075,success,0.036806045303796345,0.036806045303796345,0.0
5mmol_30C,0.000568444,1000.032227,0.299961589,0.019367125,0.097314092,0.00348487666060073,1.0,0.2145,success,0.019114588645541428,0.019114588645541428,0.0
15mmol_30C,0.000659622,1000.129858,0.499652117,0.042670694,0.103755223,0.014583135070916999,1.0,0.975,success,0.042651198919730515,0.042651198919730515,0.0
5mmol_30C,0.000753615,1000.183129,0.500015227,0.019893559,0.095239508,0.005090859897696379,1.0,0.3055,success,0.019492580138592147,0.019492580138592147,0.0
10mmol_30C,0.000365507,1000.201091,0.300003567,0.051118616,0.114449734,0.014339945730484145,1.0,1.1179999999999999,success,0.05078573485841792,0.05078573485841792,0.0
15mmol_30C,0.000321902,1000.303949,0.50013415,0.057089113,0.11521322,0.016534417684475403,1.0,1.3,success,0.08399762962878395,0.08399762962878395,0.0
15mmol_20C,0.000446906,1000.564352,0.401184136,0.045435774,0.100553676,0.01824767182112977,1.0,1.17,success,0.04493285976983713,0.04493285976983713,0.0
15mmol_30C,0.000265392,1002.961609,0.300878529,0.075760642,0.109113491,0.018109875634144183,1.0,1.3,success,0.0901017951280748,0.0901017951280748,0.0
10mmol_30C,0.000272406,1242.85638,0.298834436,0.06617026,0.11349644,0.016979413090726977,1.0,1.3,success,0.08572653860662613,0.08572653860662613,0.0
10mmol_30C,0.000566363,1249.038305,0.500093794,0.055513298,0.114298685,0.016791708887193908,1.0,1.3,success,0.08499778886556193,0.08499778886556193,0.0
10mmol_30C,0.000444553,1249.862193,0.299800426,0.031885855,0.108560812,0.015831739538611323,1.0,1.131,success,0.03163330947130055,0.03163330947130055,0.0
10mmol_21C,0.00034782,1249.972052,0.299996185,0.047035642,0.109754391,0.017933872417988127,1.0,1.3,success,0.05533551214810234,0.05533551214810234,0.0
15mmol_20C,0.000308625,1250.009063,0.300016848,0.04267257,0.107568497,0.01847422578362371,1.0,1.3,success,0.04817604042884281,0.04817604042884281,0.0
15mmol_30C,0.000395808,1250.036404,0.29999587,0.046113999,0.115489718,0.01353782451225704,1.0,1.0725,success,0.0456956998131723,0.0456956998131723,0.0
15mmol_30C,0.000485129,1250.056002,0.30007986,0.031432143,0.11381099,0.011872797067378076,1.0,0.9165000000000001,success,0.030928710127215556,0.030928710127215556,0.0
15mmol_30C,0.000474288,1250.088685,0.300012818,0.033010744,0.113081172,0.012090370212155803,1.0,0.9229999999999999,success,0.03260955584860148,0.03260955584860148,0.0
10mmol_30C,0.000346723,1250.943404,0.399996182,0.069506929,0.110695898,0.01767975016091795,1.0,1.3,success,0.08843956093698174,0.08843956093698174,0.0
10mmol_21C,0.000578276,1252.670832,0.499955561,0.048558604,0.095985963,0.021763119366984975,1.0,1.3,success,0.10416678868858312,0.10416678868858312,0.0
15mmol_20C,0.000464331,1255.424561,0.399894434,0.04170593,0.104759153,0.019270089015001175,1.0,1.3,success,0.061678094182950616,0.061678094182950616,0.0
10mmol_30C,0.000411395,1267.514069,0.499206614,0.048344787,0.125620729,0.013882736875797446,1.0,1.3,success,0.0735788061488388,0.0735788061488388,0.0
10mmol_30C,0.000313467,1271.393663,0.400560738,0.071139833,0.113122433,0.017036511783960314,1.0,1.3,success,0.08594807654122226,0.08594807654122226,0.0
5mmol_30C,0.000726548,1455.630583,0.496921484,0.023973169,0.091711664,0.007681380344664651,1.0,0.442,success,0.022807309687291374,0.022807309687291374,0.0
5mmol_30C,0.000816628,1492.737848,0.500258137,0.026577285,0.092475198,0.007162342939995505,1.0,0.41600000000000004,success,0.026054116343760203,0.026054116343760203,0.0
5mmol_30C,0.000859751,1494.673636,0.500000991,0.026915963,0.09193442,0.006983820564674943,1.0,0.403,success,0.02599070869483175,0.02599070869483175,0.0
2mmol_30C,0.000706178,1497.170512,0.499902324,0.024668497,0.091588153,0.00927599793629815,1.0,0.533,success,0.02347118217842739,0.02347118217842739,0.0
2mmol_21C,0.000637372,1500.051467,0.299942499,0.026047677,0.10857765,0.01673912276541534,1.0,1.1960000000000002,success,0.02564085127746024,0.02564085127746024,0.0
5mmol_30C,0.000526169,1500.087412,0.300071251,0.019110674,0.129153109,0.003820656613119476,1.0,0.3835,success,0.018595596357979693,0.018595596357979693,0.0
2mmol_21C,0.000741807,1500.215265,0.399939766,0.027369943,0.097766817,0.02095036542790343,1.0,1.3,success,0.03633665461457275,0.03633665461457275,0.0
2mmol_21C,0.000912927,1500.5413,0.500445132,0.020620128,0.103834646,0.019274246290521678,1.0,1.3,success,0.053963639900057134,0.053963639900057134,0.0
2mmol_21C,0.000943609,1500.993866,0.499986655,0.021720821,0.103615651,0.019337846299091264,1.0,1.3,success,0.05029416461916207,0.05029416461916207,0.0
