phi_0,dV_ges,Sep. Eff.,status
0.0002,250,1.0,success
0.00025,250,1.0,success
0.0003,250,1.0,success
0.00035,250,1.0,success
0.0004,250,1.0,success
0.00045,250,1.0,success
0.0005,250,1.0,success
0.00055,250,1.0,success
0.0006,250,1.0,success
0.00065,250,1.0,success
0.0007,250,1.0,success
0.00075,250,1.0,success
0.0008,250,1.0,success
0.00085,250,1.0,success
0.0009,250,1.0,success
0.00095,250,1.0,success
0.001,250,1.0,success
0.0002,500,1.0,success
0.00025,500,1.0,success
0.0003,500,1.0,success
0.00035,500,1.0,success
0.0004,500,1.0,success
0.00045,500,1.0,success
0.0005,500,1.0,success
0.00055,500,1.0,success
0.0006,500,1.0,success
0.00065,500,1.0,success
0.0007,500,1.0,success
0.00075,500,1.0,success
0.0008,500,1.0,success
0.00085,500,1.0,success
0.0009,500,1.0,success
0.00095,500,1.0,success
0.001,500,1.0,success
0.0002,750,1.0,success
0.00025,750,1.0,success
0.0003,750,1.0,success
0.00035,750,1.0,success
0.0004,750,1.0,success
0.00045,750,1.0,success
0.0005,750,1.0,success
0.00055,750,1.0,success
0.0006,750,1.0,success
0.00065,750,1.0,success
0.0007,750,1.0,success
0.00075,750,1.0,success
0.0008,750,1.0,success
0.00085,750,1.0,success
0.0009,750,1.0,success
0.00095,750,1.0,success
0.001,750,1.0,success
0.0002,1000,1.0,success
0.00025,1000,1.0,success
0.0003,1000,1.0,success
0.00035,1000,1.0,success
0.0004,1000,1.0,success
0.00045,1000,1.0,success
0.0005,1000,1.0,success
0.00055,1000,1.0,success
0.0006,1000,1.0,success
0.00065,1000,1.0,success
0.0007,1000,1.0,success
0.00075,1000,1.0,success
0.0008,1000,1.0,success
0.00085,1000,1.0,success
0.0009,1000,1.0,success
0.00095,1000,1.0,success
0.001,1000,1.0,success
0.0002,1250,1.0,success
0.00025,1250,1.0,success
0.0003,1250,1.0,success
0.00035,1250,1.0,success
0.0004,1250,1.0,success
0.00045,1250,1.0,success
0.0005,1250,1.0,success
0.00055,1250,1.0,success
0.0006,1250,1.0,success
0.00065,1250,1.0,success
0.0007,1250,1.0,success
0.00075,1250,1.0,success
0.0008,1250,1.0,success
0.00085,1250,1.0,success
0.0009,1250,1.0,success
0.00095,1250,1.0,success
0.001,1250,1.0,success
0.0002,1500,1.0,success
0.00025,1500,1.0,success
0.0003,1500,1.0,success
0.00035,1500,1.0,success
0.0004,1500,1.0,success
0.00045,1500,1.0,success
0.0005,1500,1.0,success
0.00055,1500,1.0,success
0.0006,1500,1.0,success
0.00065,1500,1.0,success
0.0007,1500,1.0,success
0.00075,1500,1.0,success
0.0008,1500,1.0,success
0.00085,1500,1.0,success
0.0009,1500,1.0,success
0.00095,1500,1.0,success
0.001,1500,1.0,success
0.0002,1750,1.0,success
0.00025,1750,1.0,success
0.0003,1750,1.0,success
0.00035,1750,1.0,success
0.0004,1750,1.0,success
0.00045,1750,1.0,success
0.0005,1750,1.0,success
0.00055,1750,1.0,success
0.0006,1750,1.0,success
0.00065,1750,1.0,success
0.0007,1750,1.0,success
0.00075,1750,1.0,success
0.0008,1750,1.0,success
0.00085,1750,1.0,success
0.0009,1750,1.0,success
0.00095,1750,1.0,success
0.001,1750,1.0,success
0.0002,2000,1.0,success
0.00025,2000,1.0,success
0.0003,2000,1.0,success
0.00035,2000,1.0,success
0.0004,2000,1.0,success
0.00045,2000,1.0,success
0.0005,2000,1.0,success
0.00055,2000,1.0,success
0.0006,2000,1.0,success
0.00065,2000,1.0,success
0.0007,2000,1.0,success
0.00075,2000,1.0,success
0.0008,2000,1.0,success
0.00085,2000,1.0,success
0.0009,2000,1.0,success
0.00095,2000,1.0,success
0.001,2000,1.0,success
